# common_block_name , appearences , status_of_refactoring
atom,113,DONE
b_tmove,2,DONE
Bloc,10,Todo
Bloc_da,4,DONE
Bloc_dj,4,DONE
bparm,24,Todo
casula,2,Todo
cblock_tracking,1,Todo
chck,2,Todo
coefs,70,Todo
config,6,DONE
const,92,DONE
const2,3,Todo
constant,3,Todo
contr2,33,Todo
contr3,10,Todo
contrl,30,Todo
contrl_per,21,DONE
contrldmc,1,Todo
csfs,74,DONE
cuspmat4,5,Todo
da_energy_ave,7,Todo
da_energy_now,8,DONE
da_jastrow4val,8,DONE
da_orbval,8,DONE
da_pseudo,7,DONE
deloc_dj,6,Todo
denergy_det,3,Todo
denupdn,3,DONE
derivjas,9,DONE
dets,49,DONE
dets_equiv,2,DONE
distance,14,Todo
distances_sav,2,DONE
dorb,24,Todo
elec,53,DONE
est2cm,8,DONE
estcum,8,DONE
estpsi,5,DONE
estsig,7,DONE
estsum,8,DONE
ewald,5,DONE
ewald_basis,4,DONE
force_analy,35,DONE
force_dmc,1,DONE
force_fin,4,DONE
force_mat_n,2,DONE
forcepar,20, DONE
forcest,6, DONE
forcestr,8,DONE
forcewt,8,DONE
gauss_ecp,2,DONE
ghostatom,15,DONE
gradhess_all,4,Todo
gradhess_ci,4,DONE
gradhess_jas,3,DONE
gradhess_mix_jas_ci,2,DONE
gradhess_mix_jas_orb,2,DONE
gradhess_mix_orb_ci,2, DONE
gradhess_orb,2,DONE
gradhessjo,4,DONE
gradjerr,7,DONE
grdnthes,2,DONE
grdntsmv,13,DONE
grdntspar,10,DONE
header,2,DONE
icount_ci,2,Todo
icount_orb,1,Todo
icount_prop,2,Todo
ijasnonlin,3,DONE
insout,6,DONE
jaso,8,DONE
jaspar,29,DONE
jaspar1,8,DONE
jaspar2,6,DONE
jaspar3,34,DONE
jaspar4,31,DONE
jaspar6,26,DONE
jaspointer,4,DONE
jd_scratch,2,DONE
kinet,3,DONE
linear_norm,3,DONE
mix_jas_ci,6,DONE
mmpol_hpsi,4,DONE
mmpolo,2,DONE
mpiconf,25,DONE
multidet,26,DONE
multimat,10,Todo
multimatn,3,Todo
multislater,23,Todo
multislatern,8,Todo
ncusp,1,DONE
numbas,14,DONE
numbas1,7,DONE
numbas2,2,DONE
numexp,2,Todo
optorb_mix,3,DONE
optwf_contrl,101,DONE
optwf_corsam,11,DONE
optwf_func,11,DONE
optwf_nparmj,13,DONE
optwf_parms,52,DONE
optwf_wjas,13,DONE
orbital_num_spl2,1,Todo
orbval,28,Todo
pars,4,DONE
pcm_force,2,DONE
pcm_hpsi,4,DONE
pcm_num_spl2,1,DONE
pcm_xv_new,3,DONE
pcmo,2,DONE
periodic,16,DONE
phifun,14,DONE
pseudo_champ,3,DONE
pseudo_fahy,3,DONE
pseudo_tm,7,DONE
pworbital,5,DONE
qua,14,Todo
rlobxy,1,DONE
rnyucm,6,Todo
sa_check,1,DONE
sa_weights,8,DONE
scale_more,2,DONE
scratch,1,DONE
slater,17,Todo
slatn,5,DONE
sr_index,2,DONE
sr_mat_n,20,DONE
stats,2,DONE
step,6,DONE
tempor,1,DONE
tempor_test,2,DONE
test,1,DONE
tmpnode,2,DONE
vardep,3,Todo
velocity_jastrow,7,DONE
wfsec,49,DONE
ycompact,6,DONE
ycompactn,3,DONE
zcompact,4,DONE
zmatrix,10,DONE
zmatrix_grad,1,Todo